Word,ONsize,Frequency,NumSemFeats
spat,11,0.028834974,6
hurt,3,0.0683609,9
laid,7,0.051890716,6
sway,10,0.032629002,5
guru,0,0.028735984,10
hiss,4,0.024841165,5
gene,2,0.046266265,8
aide,7,0.030884974,5
axis,1,0.029027555,7
kink,10,0.022373607,5
warm,9,0.05622469,4
huge,0,0.05563795,3
firm,4,0.05317219,7
rang,10,0.03857022,3
toll,9,0.034817588,9
ware,21,0.03153471,5
levy,0,0.030579003,5
cool,10,0.06656828,7
grab,6,0.058622055,5
grew,5,0.05171613,2
bash,14,0.034634005,5
odor,0,0.032004464,6
sect,2,0.023016144,9
spar,9,0.022807365,3
bawl,3,0.020903151,7
name,8,0.07584456,7
pain,7,0.061150808,13
wavy,4,0.020903151,4
work,9,0.0775472,7
week,9,0.06810713,9
puff,4,0.03702057,2
keel,6,0.02684257,4
wade,9,0.047223773,4
suck,14,0.053083997,4
gray,7,0.049163982,5
clan,8,0.036378033,10
icon,1,0.029668292,3
crud,1,0.02561689,3
gunk,7,0.019742265,7
oral,2,0.036777597,6
hick,10,0.03080938,3
turn,4,0.07006713,4
mass,10,0.047587335,6
runt,9,0.032386027,6
slop,10,0.030177642,6
aids,2,0.025906662,13
ream,8,0.014006227,8
ache,3,0.032508414,10
rosy,3,0.034725796,6
bind,10,0.034817588,4
dash,10,0.039398137,5
hulk,6,0.03634024,2
shut,5,0.06889545,6
deep,9,0.0592088,5
bred,1,0.032386027,4
wove,7,0.014630767,7
four,6,0.06865427,9
spun,6,0.02949011,3
days,0,0.070047334,7
tall,14,0.052491855,3
sort,6,0.064415686,10
atom,1,0.03326434,9
scat,9,0.027330322,7
grit,5,0.02500315,6
fast,10,0.06380015,3
fill,14,0.05488742,4
huff,4,0.027564298,3
anal,0,0.03315275,6
blur,2,0.03132413,6
part,10,0.068827055,4
acts,1,0.045051385,5
slow,12,0.059171002,6
edit,2,0.028636994,6
riff,1,0.026320621,5
half,4,0.066697866,5
tart,8,0.032197043,8
play,5,0.071204625,8
mute,6,0.032508414,3
bulk,7,0.030420618,6
oink,7,0.026047047,5
ugly,0,0.05456345,2
sore,13,0.046493042,9
tale,13,0.044752613,11
nerd,2,0.034680802,7
born,9,0.05992153,4
slob,7,0.03530354,7
emit,3,0.018379798,4
open,3,0.0704145,7
hide,9,0.058490667,3
view,0,0.05386152,5
pray,5,0.053377368,8
thud,2,0.030579003,6
fuck,9,0.071717575,6
