file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
hotel,0.0,0.7100453514739229,MFA_Ready,-52.65368480413732,-51.614969635009764,2.250000273393118,11.157788388454403
ideal,0.0,0.5729478458049887,MFA_Ready,-44.590280633223685,-43.773865699768066,2.244982102261067,6.695555617482622
midnight,0.0,0.5850113378684807,MFA_Ready,-52.05068193855932,-53.06874910990397,2.2449814775693415,16.47835221574109
boulder,0.0,0.702562358276644,MFA_Ready,-38.673308454241074,-41.24232368469238,2.2402618153590486,9.707721260442192
shiver,0.0,0.710702947845805,MFA_Ready,-52.909117792693664,-50.681692123413086,2.2306132213827627,13.39580182372309
design,0.0,0.5914285714285714,MFA_Ready,-43.37634898040254,-47.82257308959961,2.226683050532242,2.051975297126262
pudding,0.0,0.6655328798185941,MFA_Ready,-48.318960616837686,-48.274881744384764,2.222171562581047,5.65319820742566
disease,0.0,0.6421315192743764,MFA_Ready,-38.11480712890625,-41.6032470703125,2.2016943317677447,6.143530023043024
combine,0.0,0.9252834467120181,MFA_Ready,-41.60063319052419,-42.75774828592936,2.1968567738219162,4.481051950254702
chicken,0.0,0.5519501133786848,MFA_Ready,-50.90794566761364,-51.040869140625,2.1968560664781527,4.2897800679639175
walrus,0.0,0.9002721088435374,MFA_Ready,-40.51533203125,-41.327589670817055,2.192657356524151,11.329980494878082
dagger,0.0,0.5892743764172336,MFA_Ready,-43.967454813294495,-48.494529247283936,2.1849605406724586,12.000956695630517
clothing,0.0,0.6233786848072562,MFA_Ready,-46.8712158203125,-46.99643135070801,2.1773240806210614,6.26697521135668
cigar,0.0,0.7099773242630385,MFA_Ready,-45.69189796985035,-48.045807647705075,2.166800904612582,16.568488813452298
reading,0.0,0.738344671201814,MFA_Ready,-46.37675187394426,-46.034576416015625,2.166800589317196,5.665920384554131
mileage,0.0,0.8765759637188208,MFA_Ready,-45.7093672318892,-43.88115463256836,2.1339223507464387,15.328052646833324
aspect,0.0,0.8836281179138322,MFA_Ready,-50.39633456143466,-49.750536600748696,2.1330708706451738,12.773808736628048
account,0.0,0.8463945578231292,MFA_Ready,-51.33237017463235,-50.69017791748047,2.1330708706451738,4.599526722263288
amount,0.0,0.6950340136054421,MFA_Ready,-46.95861118861607,-45.97528610229492,2.133070387321185,11.178488708982307
sunburn,0.0,0.7971655328798186,MFA_Ready,-45.19453430175781,-45.1136474609375,2.129581308435819,13.562204514428942
research,0.0,0.773469387755102,MFA_Ready,-50.83433314732143,-48.78409652709961,2.1066159040522647,5.889747319271589
partner,0.0,0.6197052154195012,MFA_Ready,-51.50900170110887,-52.96573575337728,2.104825841997197,4.8161114505849625
carpet,0.0,0.5740362811791383,MFA_Ready,-52.50108792489035,-51.76044718424479,2.104825841997197,14.334634914759853
harvest,0.0,0.7563945578231293,MFA_Ready,-47.28836541426809,-48.9828120640346,2.1048256823998566,7.576019116646414
carbon,0.0,0.6475736961451247,MFA_Ready,-47.12056790865385,-46.317633310953774,2.1048256823998566,-0.7543100419471465
dandruff,0.0,0.858843537414966,MFA_Ready,-43.661005064498546,-46.907945360456196,2.0810074742237608,16.664000482318368
pencil,0.0,0.9107256235827664,MFA_Ready,-50.50853150755494,-49.533562342325844,2.077055652027519,1.8512856739145214
passive,0.0,0.741655328798186,MFA_Ready,-44.2827049461571,-44.845244598388675,2.0728259913446223,13.983427495792263
beauty,0.0,0.6384580498866214,MFA_Ready,-45.36561965942383,-48.844172668457034,2.054485381812332,15.821502308553832
unit,0.0,0.5350340136054422,MFA_Ready,-45.013748734085645,-43.284857177734374,2.054485381812332,16.055812368612578
letter,0.0,0.7054648526077097,MFA_Ready,-47.44111396897007,-47.02752876281738,2.0430483217421336,14.647054242692853
