word,cosine_similarity,clean_norm,noisy_norm
seller,0.7427082,28.787153,20.20888
sender,0.4955103,29.70109,22.625763
sergeant,0.6160766,33.05562,25.414068
series,0.4271861,39.394093,24.79116
service,0.5953218,25.087807,20.176573
session,0.6489003,24.238096,18.273214
sewer,0.65569836,25.761446,17.034193
shadow,0.677497,25.50483,21.625168
shallow,0.69457644,28.040178,19.326569
shelter,0.7180069,25.400131,20.714428
shiver,0.5593148,24.054981,25.401592
shortage,0.61797667,39.46629,31.243788
shoulder,0.67329687,30.193949,26.298368
shovel,0.70932883,31.186405,22.117413
shower,0.7749556,22.1614,18.847965
signal,0.51174724,21.502708,17.62205
silence,0.5889873,21.43807,16.527155
silver,0.57156754,31.25578,18.575907
singer,0.5183094,17.369957,8.675586
sister,0.6000624,21.953571,24.232197
slipper,0.5441092,29.270107,17.282072
soccer,0.7079288,27.124495,19.1273
soda,0.5822957,31.412817,21.944756
sofa,0.65337396,23.910479,17.632658
soldier,0.62197834,39.998665,34.75905
sorrow,0.7875746,24.561594,24.99798
speaker,0.42816794,29.538202,11.068275
special,0.7247238,22.237495,22.523169
spider,0.6856306,29.014816,22.153843
spinach,0.5295086,27.825254,15.340089
spirit,0.6624004,34.557007,29.707315
squirrel,0.6006253,29.95876,14.447379
stable,0.6128764,36.05337,28.013525
stadium,0.44396082,40.067646,18.029192
standard,0.5040006,30.372505,17.681513
statement,0.536684,24.277122,24.078564
station,0.52969265,28.213627,24.881487
steamer,0.3567964,33.729435,14.9098215
stocking,0.6673014,24.000704,19.760824
stomach,0.5744859,21.770458,16.494066
story,0.7190219,30.279577,31.532398
stranger,0.44154444,40.668846,25.610432
streamer,0.38428652,44.435963,20.06773
student,0.42531273,45.98047,26.585527
stumble,0.5302176,33.361088,23.453878
subject,0.70386416,23.719286,18.665983
substance,0.6246605,27.731682,21.015995
success,0.6266531,17.404985,17.333366
sucker,0.70113224,23.767302,17.394745
sugar,0.59819305,24.470703,22.923307
summer,0.6190528,24.542583,19.391615
sunburn,0.4507815,34.763447,20.187412
sunlight,0.5264121,31.748154,23.060009
sunset,0.46485913,32.460796,25.001759
